,cookie,type,retention,description
21,_gat,Analytics,1 day,Used by Google Analytics to throttle request rate
22,_gid,Analytics,1 day,Registers a unique ID that is used to generate statistical data on how the visitor uses the website.
23,p.gif,Analytics,Session,Keeps track of special fonts used on the website for internal analysis. The cookie does not register any visitor data.
24,umte_rpin,Analytics,Persistent,"Collects statistics on the user's visits to the website, such as the number of visits, average time spent on the website and what pages have been read."
25,ustream-guest [x2],Analytics,Session,Used to make live streaming of video content more efficient.
26,vuid,Analytics,2 years,"Collects data on the user's visits to the website, such as which pages have been read."
27,__atuvc,Marketing,13 months,Updates the counter of a website's social sharing features.
28,__atuvs,Marketing,1 day,"Ensures that the updated counter is displayed to the user if a page is shared with the social sharing service, AddThis."
29,_at.cww,Marketing,Persistent,Used by the social sharing platform AddThis
30,_twitter_sess,Marketing,Session,"Collects data related to the user's visits to the website, such as the number of visits, average time spent on the website and which pages have been loaded, with the purpose of personalising and improving the Twitter service."
31,at-lojson-cache-#,Marketing,Persistent,Used by the social sharing platform AddThis
32,at-rand,Marketing,Persistent,Used by the social sharing platform AddThis
33,fbssls_#,Marketing,Session,"Collects data on the visitor’s use of the comment system on the website, and what blogs/articles the visitor has read. This can be used for marketing purposes."
34,guest_id,Marketing,13 months,"Collects data related to the user's visits to the website, such as the number of visits, average time spent on the website and which pages have been loaded, with the purpose of personalising and improving the Twitter service."
35,i/jot,Marketing,Session,"Sets a unique ID for the visitor, that allows third party advertisers to target the visitor with relevant advertisement. This pairing service is provided by third party advertisement hubs, which facilitates real-time bidding for advertisers."
36,loc,Marketing,13 months,"Geolocation, which is used to help providers determine how users who share information with each other are geographically located (state level)."
37,mc,Marketing,13 months,"Collects data on the user's visits to the website, such as what pages have been loaded. The registered data is used for targeted ads."
38,uvc,Marketing,13 months,"Detects how often the social sharing service, AddThis, encounters the same user."
39,VISITOR_INFO1_LIVE,Marketing,179 days,Tries to estimate the users' bandwidth on pages with integrated YouTube videos.
40,WIDGET::local::assignments,Marketing,Persistent,"Used by audio-platform SoundCloud to implement, measure and improve their embedded content/service on the website - The collection of data also includes visitors’ interaction with embedded content/service. This can be used for statistics or marketing purposes."
41,xtc,Marketing,13 months,Registers the user's sharing of content via social media.
42,YSC,Marketing,Session,Registers a unique ID to keep statistics of what videos from YouTube the user has seen.
43,ytidb::LAST_RESULT_ENTRY_KEY,Marketing,Persistent,Stores the user's video player preferences using embedded YouTube video
44,yt-remote-cast-available,Marketing,Session,Stores the user's video player preferences using embedded YouTube video
45,yt-remote-cast-installed,Marketing,Session,Stores the user's video player preferences using embedded YouTube video
46,yt-remote-connected-devices,Marketing,Persistent,Stores the user's video player preferences using embedded YouTube video
47,yt-remote-device-id,Marketing,Persistent,Stores the user's video player preferences using embedded YouTube video
48,yt-remote-fast-check-period,Marketing,Session,Stores the user's video player preferences using embedded YouTube video
49,yt-remote-session-app,Marketing,Session,Stores the user's video player preferences using embedded YouTube video
50,yt-remote-session-name,Marketing,Session,Stores the user's video player preferences using embedded YouTube video
51,persist:captionSettings,,Persistent,
52,persist:hidden_context_menu_items,,Persistent,
53,persist:provider,,Persistent,
54,privateBrowseTest,,Persistent,
55,MyECASDomain,Functional,Session,Remembers your domain
56,__Secure_CASTGC,Functional,Session,Identifies your session
57,__Secure_ECAS_SESSIONID,Functional,Session,Identifies the current Central Authentication Service session
58,ECAS_PREFS,Functional,Session,Remembers your settings and preferences:
59,CASPRIVACY,Functional,Session,EURES Authentication info
60,CASTGC,Functional,Session,EURES Authentication info
61,EURES_CAS_LOGGED_IN,Functional,Session,EURES Authentication info
62,AUTH,Functional,Session,Used to switch and authenticate between applications of Foods Systems
63,SECTOR,Functional,Session,Used to switch and authenticate between applications of Foods Systems.
64,CFCASCOUNTPPPADMIN,Functional,Session,Cookie to limit the number of failed login attempts
65,ecasST,Functional,Session,"Maintain a secure session for you, during your visit"
66,ecasUser,Functional,Session,"Maintain a secure session for you, during your visit"
67,userRoles,Functional,Session,Stores the user role
68,CFCASCOUNTADNS,Functional,Session,Cookie to limit the number of failed login attempts
69,_WL_AUTHCOOKIE_TNTSESSIONID,Functional,Session,"Maintain a secure session for you, during your visit"
70,_WL_AUTHCOOKIE_JSESSIONID,Functional,Session,"Maintain a secure session for you, during your visit"
71,UserProfileRasff,Functional,Session,Stores the user profile
72,_WL_AUTHCOOKIE_SAAASIISession,Functional,Session,"Maintain a secure session for you, during your visit"
73,moviedb_session,Functional, 2 hours,"Maintain a secure session for you, during your visit"
74,CASAuth,Functional, 2 hours,"Maintain a secure session for you, during your visit"
75,GIS_s-regio-gis3-p.net1.cec.eu.intP_SESSIONID,Functional,,authentication in order to use a service
76,GIS_s-regio-gis4-p.net1.cec.eu.intP_SESSIONID,Functional,,authentication in order to use a service
77,GIS_s-regio-gis3-a.net1.cec.eu.intP_SESSIONID,Functional,,authentication in order to use a service
78,_socrata_session_id,Functional,,"Maintain a secure session for you, during your visit"
79,_core_session_id,Functional,,"Maintain a secure session for you, during your visit"
80,_storyteller_session,Functional,,"Maintain a secure session for you, during your visit"
81,logged_in,Functional,,Contains an indicator whether the user in the current session has logged in.
82,connect.sid,Functional,Session,"Maintain a secure session for you, during your visit"
83,connect.sid.sdi-code-linker,Functional,Session,"Maintain a secure session for you, during your visit"
84,JSESSIONID / CFID / CFTOKEN,Functional,Session,"Maintain a secure session for you, during your visit."
85,"Ecsi, Eurostat-SearchFeedback",Functional, 1 month,Stores information on whether you have already replied to a survey pop-up – so you won't be asked again.
86,theoplayer-session-id,Functional, persistent data,"Enables the player’s own analytics, currently not used."
87,theoplayer-stored-network-info,Functional, persistent data,Enables the player’s bandwidth estimate to determine the best initial bandwidth and enhance the user experience.
88,EURES_LF_MARKETPLACE_SESSIONID,Functional,Session,EURES Session info for Liferay
89,EURES_LF_PLUGINS_SESSIONID,Functional,Session,EURES Session info for Liferay
90,LFR_SESSION_STATE_xxxxx,Functional,Session,EURES Session info for Liferay
91,cck1atlassian-analytics.confluence.lock,Functional, persistent data,Keeps Confluence analytics disabled
92,confluence.sidebar.width,Functional, persistent data,Remembers the width of the sidebar
93,browser-metrics-journey,Functional, valid for 60 minutes,"Intended for features performance metrics, but remains disabled - no data is logged"
94,X-Qlik-Session,Functional, deleted after 30 minutes of inactivity,Opens and maintains an X-Qlik user session
95,wtEtrans. Appended by the target translation language and a timestamp,Functional, persistent data,Stores the translation of the page you requested so that you don't have to wait when re-requesting its translation
96,ApplicationGatewayAffinity,Functional,Session,used by Azure Gateway server
97,ApplicationGatewayAffinityCORS,Functional,Session,used by Azure Gateway server
98,EIPP_SESSION_ID,Functional, deleted after 10 minutes (automatically extended based on user activity),User session No additional information stored
99,Vanilla / Vanilla-Vv / Vanilla-sid / Vanilla-tk,Functional, Vv - one day,Maintain login and operations on the ESCO Forum
100,EURES_XXX_SESSION_ID,Functional,Session,EURES Session info
101,PHPSESSID,Functional,Session,"Maintain a secure session for you, during your visit"
102,CGISESSID,Functional,Session,"Maintain a secure session for you, during your visit"
103,userSaasData,Functional,Session,"Maintain a secure session for you, during your visit"
104,applicationMode,Functional,Session,"Maintain a secure session for you, during your visit"
105,X-CSRF-TOKEN,Functional,Session,Used to avoid Cross-site attacks
106,DPORead,Functional, 1 year,Confirmation that the privacy statement has been read by the user
107,TNTSESSIONID,Functional,Session,"Maintain a secure session for you, during your visit"
108,SAASIISession,Functional,Session,"Maintain a secure session for you, during your visit"
109,SSESSxxxx,Functional,,Session identifier used by Drupal sites
110,kci_stick_to_https,Functional,Session,"Maintain a secure session for you, during your visit"
111,XSRF-TOKEN,Functional, 2 hours,"Maintain a secure session for you, during your visit"
112,socrata-csrf-token,Functional,,"Maintain a secure session for you, during your visit"
113,maintenance_ack,Functional,,Contains an indicator whether the user in the current session has dismissed a maintenance notice.
114,renderTrackingId_#,Functional,,Contains an arbitrary integer value for determining when asynchronous page rendering has completed for the purposes of snapshotting the page.
115,socrata_site_chrome_preview,Functional,,Temporary flag to allow previewing changes to site appearance.
116,hide-clp-manager,Functional,,Records the user preference to dismiss the link to the Catalog Landing Page manager.
117,browser_ack,Functional,,"Records the user preference to dismiss certain notices that appear on the platform, i.e. maintenance window notices."
118,socrata-login-modal-accepted,Functional,,Records the user acceptance of an optional pre-login usage notice that certain customer domains require.
119,js_flash,Functional,,Stores temporary user-facing notices as needed.
120,atlassian-analytics.confluence.lock,Functional, persistent data,"Used for statistics only, in order to store statistics about Confluence usage"
121,atst.healthcheck.sensors.page-protocols,Functional, persistent data,Keeps Confluence analytics disabled
122,dashboard.route.last,Functional, persistent data,Remembers preference for information displayed on the user's dashboard
123,MDR-EUDAMED-APP,Functional,Session,"Maintain a secure session for you, during your visit"
124,newsroom_session,Functional,Session,"Maintain a secure session for you, during your visit"
125,newsroom_session2,Functional,Session,"Maintain a secure session for you, during your visit"
126,connect.sid.sdi-ddym,Functional,Session,"Maintain a secure session for you, during your visit"
127,ETX_JSID,Functional,Session,"Maintain a secure session for you, during your visit"
128,_pk_id#,Analytics, 13 months,Recognises website visitors (anonymously – no personal information is collected on the user).
129,_pk_ses#,Analytics, 30 minutes,Identifies the pages viewed by the same user during the same visit.
130,.AspNetCore.Antiforgery.w5W7x28NAIs,Functional,Session,To improve security between your browser and our servers as you are completing eForms.
131,.AspNetCore.Session,Functional,Session,"To maintain session information when browsing the website, necessary to support multiple page eForms and to remember your progress until you complete the eForm."
132,ASPSESSIONIDQGDSSAQT,Functional,Session,"To maintain session information when browsing the website, necessary to support multiple page eForms and to remember your progress until you complete the eForm."
133,close-cookie-notice,Functional,one year,Records consent to cookies and closes the cookie preference popup.
134,cookie-consent-necessary,Functional,one year,Records the date the visitor gave consent to necessary cookies.
135,_gat_BarnsleyCouncil,Functional,Session,Helps to record visitors' use of the website without collecting personally identifiable data.
136,nmstat,Functional,1000 days,Helps to record visitors' use of the website without collecting personally identifiable data.
137,siteimproveses,Functional,Session,Helps to record visitors' use of the website without collecting personally identifiable data.
138,whoson,Functional,13 month,Helps to record visitors' use of web chat against their web chat visitor record (which contains browser information and IP address).
139,Session165,Functional,,Used to identify user and remember download center selections.
140,    55,Functional,,Used to remember user’s cookie consent preferences.
141,    55CC,Functional,,Used to remember user’s cookie consent preferences.
142,    55tld,Functional,,Used to remember user’s cookie consent preferences.
143,popinHide,Functional,,Hide poppin if user has already seen it
144,CookieCon sent,Functional,,Stores the user’s cookie consent state for the current domain
145,    utma,Analytics,,Collects data on the number of times a user has visited the website as well as dates for the first and most recent visit. Used by Google Analytics.data is sent to Google Analytics.
146,    utmt,Functional,,Used to throttle request rate.
147,    utmb,Analytics,,Registers a timestamp with the exact time of when the user accessed the website. Used by Google Analytics to calculate the duration of a website visit.
148,    utmc,Analytics,,Registers a timestamp with the exact time of when the user leaves the website. Used by Google Analytics to calculate the duration of a website visit.
149,    utmz,Analytics,,"Collects data on where the user came from, what search engine was used, what link was clicked and what search term was used. Used by Google Analytics."
150,    utmv,Analytics,,Saves user-defined tracking parameters for use in Google Analytics.
151,collect,Analytics,,This cookie is used to send data to Google Analytics about the visitor’s device and behavior. It tracks the visitor across devices and marketing channels.
152,ads/ga-audiences,Marketing,,Used by Google AdWords to re-engage visitors that are likely to convert to customers based on the visitor’s online behaviour across websites.
153,NID,Marketing,,Registers a unique ID that identifies a returning user’s device. The ID is used for targeted ads.
154,rc::a,Marketing,,Used in context with video-advertisement. The cookie limits the number of times a visitor is shown the same advertisement-content. The cookie is also used to ensure relevance of the video-advertisement to the specific visitor.
155,rc::b,Marketing,,Used in context with video-advertisement. The cookie limits the number of times a visitor is shown the same advertisement-content. The cookie is also used to ensure relevance of the video-advertisement to the specific visitor.
156,rc::c,Marketing,,Used in context with video-advertisement. The cookie limits the number of times a visitor is shown the same advertisement-content. The cookie is also used to ensure relevance of the video-advertisement to the specific visitor.
157,r/collect,Marketing,,This cookie is used to send data to Google Analytics about the visitor’s device and behavior. It tracks the visitor across devices and marketing channels.
158,Name,Marketing,,Purpose
159,,Marketing,,
160,GPS,Functional,,Registers a unique ID on mobile devices to enable tracking based on geographical GPS location.
161,IDE,Functional,,Used by Google DoubleClick to register and report the
162,PREF,Functional,,Registers a unique ID that is used by Google to keep statistics of how the visitor uses YouTube videos across different websites.
163,test_cookie,Functional,,Used to check if the user’s browser supports cookies.
164,yt-player-headers-readable,Functional,,Used to determine the optimal video quality based on the visitor’s device and network settings.
165,lang,Functional,,Remembers the user’s selected language version of a website
166,local_storage_support_test,Functional,,The cookie is used in context with the local-storage function in the browser. This function allows the website to load faster by pre-loading certain procedures.
167,ASPSESSIONIDXXXXXXXX,Functional,Session,
168,OptanonAlertBoxClosed,Functional,365 Days,
169, OptanonConsent,Functional, 365 Days,
170, eupubconsent,Functional, 365 Days,
171,ASP.NET_SessionId,Functional,Session,
172, OptanonConsent,Functional, 365 Days,
173, eupubconsent,Functional, 2914174 Days,
174,__cfduid,Functional,30 Days,
175,__hssc,Analytics,A few seconds,
176, __hstc,Analytics, 389 Days,
177, __hssrc,Analytics, Session,
178,_mkto_trk,Analytics,729 Days,
179, _gid,Analytics, 1 Day,
180, _gclxxxx,Analytics, 89 Days,
181, __utmb,Analytics, A few seconds,
182, _gat_UA-,Analytics, A few seconds,
183, _ga,Analytics, A few seconds,
184, __utma,Analytics, 730 Days,
185,hubspotutk,Functional,389 Days,
186,visitor_id,Marketing,720 Days,
187, visitor_id295702-hash,Marketing, 730 Days,
188,visitor_id#####,Marketing,730 Days,
189, pardot,Marketing, Session,
190,AnalyticsSyncHistory,Marketing,30 Days,
191, lidc,Marketing, 1 Day,
192, lang,Marketing, Session,
193, bcookie,Marketing, 2 Years,
194, UserMatchHistory,Marketing, 1 Month,
195, li_gc,Marketing, 730 Days,
196,bscookie,Marketing,365 Days,
197,pardot,Marketing,Session,
198,CONSENT,Marketing,6182 Days,
199, VISITOR_INFO1_LIVE,Marketing, 365 Days,
200, YSC,Marketing, Session,
201,__CookieConsentV200,Functional,90 days,__CookieConsentV200 cookie is a plugin used to help you comply with EU guideline.
202,_gat_UA-62656454-4,Analytics,1 minute,It appears to be a variation of the _gat cookie which is used to limit the amount of data recorded by Google on high traffic volume websites.
203,AWSALBTG,Functional,7 days,AWS Application Load Balancer Cookie: Load Balancing Cookie:  Used to encode information about the selected target group.
204,AWSALBTGCORS,Functional,7 days,AWS Application Load Balancer Cookie: Load Balancing Cookie:  which includes the same information as the original stickiness cookie plus this SameSite attribute.
205,_lfa,Analytics,2 years,"Used in context with identifying company visitors to the website. The Leadfeeder cookie collects the behavioral data of all visitors from companies. The cookie registers data such as IP addresses, visitor sources, time spent on the website, and page requests for the visit. Data is processed where it pertains to company visitors and is not processed further for individual visitors."
206,countryName,Functional,Until manually deleted,This is used to detect the country (from the list of countries provided) you are in for the customer website functionality .
207,eupubconsent,Functional,2914137 Days,
208, OptanonAlertBoxClosed,Functional, 365 Days,
209,cf_ob_info,Functional,A few seconds,
210, cf_use_ob,Functional, A few seconds,
211, OneTrustConsent,Functional, Session,
212,cart_sig,Functional,14 Days,
213, cookietest,Functional, Session,
214, secure_customer_sig,Functional, 7305 Days,
215,_optimizely_user,Functional,1824 Days,
216, _dc_gtm_UA-xxxxxxxx,Functional, A few seconds,
217, _orig_referrer,Functional, 14 Days,
218, _tldtest_xxxxxxxxxxxxxxxxxxxxxxxxxxxxx,Functional, Session,
219,Cookies,Analytics,Lifespan,
220,ai_user,Analytics,365 Days,
221, _gat_UA-nnnnnnn-nn,Analytics, A few seconds,
222, _landing_page,Analytics, 14 Days,
223, _s,Analytics, A few seconds,
224, _shopify_s,Analytics, A few seconds,
225, _shopify_sa_p,Analytics, A few seconds,
226, _shopify_sa_t,Analytics, A few seconds,
227, _shopify_y,Analytics, 365 Days,
228, _y,Analytics, 365 Days,
229, __utmc,Analytics, Session,
230, __utmz,Analytics, 183 Days,
231, _gat,Analytics, A few seconds,
232,BrowserId,Analytics,365 Days,
233,sfdc-stream,Functional,A few seconds,
234,NO_CACHE,Functional,Session,
235,ELOQUA,Functional,396 Days,
236,cookietest,Functional,Session,
237,undefinedxxxxxxxxxxxxxxxxx,Marketing,Session,
238,_gat_gtag_xxxxxxxxxxxxxxxxxxxxxxxxxxx,Marketing,A few seconds,
239, _gat_xxxxxxxxxxxxxxxxxxxxxxxxxx,Marketing, A few seconds,
240, _uetsid,Marketing, A few seconds,
241, amp_,Marketing, 3649 Days,
242, lissc,Marketing, 365 Days,
243,_GRECAPTCHA,Marketing,180 Days,
244, NID,Marketing, 183 Days,
245, ELQSTATUS,Marketing, 397 Days,
246,MUID,Marketing,Session,
247, JSESSIONID,Marketing, Session,
248,JSESSIONID,,Session duration.,New Relic cookie used to monitor session counts for an application.
249,MUID (Microsoft User ID),,365 days duration.,Set by Microsoft as a unique user ID and enables user tracking by synchronizing the ID across many Microsoft domains.
250,NRAGENT,,Session duration.,"New Relic cookie, created only when a token is handed out to an end-user by the New Relic server."
251,NREUM,,Session duration.,"New Relic cookie, only created in browsers that don’t support the Navigation Timing API."
252,UserMatchHistory,,30 days duration.,Set by LinkedIn Ads for ID syncing.
253,_BEAMER_DATE_{product ID},,300 days duration.,"Set by Beamer, stores the latest date in which the feed was opened."
254,_BEAMER_FILTER_BY_URL_{product ID},,20 minutes duration.,"Set by Beamer, stores whether to apply URL filtering on the Beamer feed."
255,_BEAMER_FIRST_VISIT_{product ID},,3000 days duration.,Set by Beamer to store the date of this user's first interaction with Hotjar Insights.
256,_BEAMER_LAST_UPDATE_{product ID},,3000 days duration.,Set by Beamer and stores the timestamp for the last time the number of unread posts was updated for this user.
257,_BEAMER_USER_ID_{product ID},,300 days duration.,Set by Beamer to store an internal ID for a user.
258,_fbp,,3 months duration.,Used by Facebook to deliver a series of advertisement products such as real-time bidding from third-party advertisers.
259,_gaexp,,90 days duration (can depend on experiment length).,"Set by Google Analytics, used to determine a user's inclusion in an experiment and the expiry of experiments a user has been included in."
260,_gcl_au,,3 months duration.,Set by Google Analytics to take information in advert clicks and store it in a 1st party cookie so that conversions can be attributed outside of the landing page.
261,_hjAbsoluteSessionInProgress,,30 minutes duration.,Used to detect the first pageview session of a user.
262,_hjCachedUserAttributes,,Session duration.,"Stores User Attributes sent through the Hotjar Identify API, whenever the user is not in the sample."
263,_hjClosedSurveyInvites,,365 days duration.,Set when a user interacts with an external link Survey invitation modal.
264,_hjDonePolls,,365 days duration.,Set when a user completes an on-site Survey.
265,_hjFirstSeen,,Session duration.,Identifies a new user’s first session.
266,_hjIncludedInPageviewSample,,30 minutes duration.,Set to determine if a user is included in the data sampling defined by your site's pageview limit.
267,_hjIncludedInSessionSample,,30 minutes duration.,Set to determine if a user is included in the data sampling defined by your site's daily session limit.
268,_hjLocalStorageTest,,Under 100ms duration.,Checks if the Hotjar Tracking Code can use local storage.
269,_hjMinimizedPolls,,365 days duration.,Set when a user minimizes an on-site Survey.
270,_hjRecordingEnabled,,Session duration.,Set when a Recording starts.
271,_hjRecordingLastActivity,,Session duration.,Set in Session storage as opposed to cookies.
272,_hjSessionRejected,,Session duration.,"If present, set to '1' for the duration of a user's session, when Hotjar has rejected the session from connecting to our WebSocket due to server overload."
273,_hjSessionResumed,,Session duration.,Set when a session/recording is reconnected to Hotjar servers after a break in connection.
274,_hjSessionTooLarge,,Session duration.,Causes Hotjar to stop collecting data if a session becomes too large.
275,_hjSessionUser_{site_id},,365 days duration.,Set when a user first lands on a page.
276,_hjSession_{site_id},,30 minutes duration.,Holds current session data.
277,_hjShownFeedbackMessage,,365 days duration.,Set when a user minimizes or completes a Feedback widget.
278,_hjTLDTest,,"Enables us to try to determine the most generic cookie path to use, instead of page hostname.",We try to store the _hjTLDTest cookie for different URL substring alternatives until it fails.
279,_hjUserAttributesHash,,Session duration.,User Attributes sent through the Hotjar Identify API are cached for the duration of the session.
280,_hjViewportId,,Session duration.,Stores user viewport details such as size and dimensions.
281,_hjid,,365 days duration.,Set when a user first lands on a page.
282,ajs_anonymous_id,,365 days duration.,Set by Segment as a randomly generated ID for anonymous users.
283,ajs_group_id,,365 days duration.,"Set by Segment, used to group visits by different website users if logged in."
284,ajs_user_id,,365 days duration.,"Set by Segment, used for usage analytics if logged in."
285,ajs_user_traits,,365 days duration.,Set by Segment to identify call is made on hotjar.com.
286,bcookie,,2 years duration.,Set by LinkedIn to keep track of the browser ID.
287,lidc,,1-day duration.,"Set by LinkedIn, used for routing."
288,lissc,,365 days duration.,Used by LinkedIn for tracking the use of embedded services.
289,mp_*,,Duration decided by Mixpanel.,Set by Mixpanel to track usage on hotjar.com.
290,optimizely*,,Duration decided by Optimizely.,Set by Optimizely to run tests on hotjar.com.
291,segment_id,,365 days duration.,"A Hotjar cookie that creates a unique ID for users and is used to consistently trigger experiments, for example."
292,X-Access-Key,Functional,Session duration,Keeps your website session alive.
293,_hjOptOut,Functional,4 months duration.,Hotjar Opt-Out setting. More information can be found on our Do Not Track page.
294,_hjptid,Functional,Session duration.,Set for logged-in users of Hotjar who have Admin Team Member permissions.
295,hjSiteLang,Functional,365 days duration.,Set when a page that supports multiple languages on hotjar.com is visited.
296,_stripe_mid ,Functional,,Making credit card transactions on the website. The service is provided by Stripe.com which allows online transactions without storing any credit card information.
297,_stripe_sid ,Functional,,Making credit card transactions on the website. The service is provided by Stripe.com which allows online transactions without storing any credit card information.
298,m ,Functional,,Determines the device used to access the website. This allows the website to be formatted accordingly.
299,rc::a ,Functional,,This cookie is used to distinguish between humans and bots.
300,rc::c ,Functional,,This cookie is used to distinguish between humans and bots.
301,NID ,Marketing,,Registers a unique ID that identifies a returning user’s device. The ID is used for targeted ads.
302,_dc_gtm_UA-# ,Marketing,,Used by Google Tag Manager to control the loading of a Google Analytics script tag.
303,_ga ,Marketing,,Registers a unique ID that is used to generate statistical data on how the visitor uses the website.
304,_gat ,Marketing,,Used by Google Analytics to throttle request rate.
305,_gid ,Marketing,,Registers a unique ID that is used to generate statistical data on how the visitor uses the website.
306,collect ,Marketing,,Used to send data to Google Analytics about the visitor’s device and behavior. Tracks the visitor across devices and marketing channels.
307,__utmv,,,Used to send data to Google Analytics about the visitor’s device and behavior. Tracks the visitor across devices and marketing channels.
308,_gcl_au ,Marketing,,Used by Google AdSense for experimenting with advertisement efficiency across websites using their services.
309,IDE ,Marketing,,Used by Google DoubleClick to register and report the website user’s actions after viewing or clicking one of the advertiser’s ads with the purpose of measuring the efficacy of an ad and to present targeted ads to the user.
310,r/collect ,Marketing,,This cookie is used to send data to Google Analytics about the visitor’s device and behavior. It tracks the visitor across devices and marketing channels.
311,test_cookie ,Marketing,,Used to check if the user’s browser supports cookies.
312,OTZ,,,This cookie is set to collect information on user behaviour and navigation which is used to optimize the website – The cookie also allows Google Ads and Google Analytics to compile information on visitors for marketing purposes.
313,tr ,Marketing,,Used by Facebook to deliver a series of advertisement products such as real time bidding from third party advertisers.
314,fr ,Marketing,,Used by Facebook to deliver a series of advertisement products such as real time bidding from third party advertisers.
315,fbevents.js,,,"Analytical cookies that track the traffic of the Site All user data is anonymous. For details on these cookies, please view the cookie policy of Facebook here."
316,Facebook tracking pixel,,,"Tracking pixel which matches users anonymously with their Facebook ID, enabling remarketing, analysis and reporting of Depaul UK advertising campaigns."
317,Personalization_id ,Marketing,,This cookie is set by Twitter – The cookie allows the visitor to share content from the website on to their Twitter profile.
318,i/adsct ,Marketing,,The cookie is used by Twitter.com in order to determine the number of visitors accessing the website through twitter advertisement content.
319,Twitter pixel code,,,"Tracking pixel which matches users anonymously with their Twitter ID, enabling remarketing, analysis and reporting of Depaul UK advertising campaigns."
320,VISITOR_INFO1_LIVE ,Marketing,,Tries to estimate the users’ bandwidth on pages with integrated YouTube videos.
321,YSC ,Marketing,,Registers a unique ID to keep statistics of what videos from YouTube the user has seen.
322,yt-remote-cast-installed ,Marketing,,Stores the user’s video player preferences using embedded YouTube video.
323,yt-remote-connected-devices ,Marketing,,Stores the user’s video player preferences using embedded YouTube video.
324,yt-remote-device-id ,Marketing,,Stores the user’s video player preferences using embedded YouTube video.
325,yt-remote-fast-check-period ,Marketing,,Stores the user’s video player preferences using embedded YouTube video.
326,yt-remote-session-app ,Marketing,,Stores the user’s video player preferences using embedded YouTube video.
327,yt-remote-session-name ,Marketing,,Stores the user’s video player preferences using embedded YouTube video.
328,_hjIncludedInSample ,Marketing,,Hotjar is an analytics and feedback tool that we use to understand how our website is used and improve usability. Hotjar sets cookies to help us track behaviour across pages and to control visitor polls. The cookies carry no personally identifiable information.
329,_hjMinimizedPolls ,Marketing,,More information.
330,_hjUserId ,Marketing,,More information.
331,_hjDonePolls ,Marketing,,More information.
332,_hjDoneTestersWidgets ,Marketing,,More information.
333,[SessionID#27] ,Functional,,Session cookies expire at the end of your browser session and allow PayPal to link your actions during that particular browser session.
334,__paypal_storage__,,,Used in context with the PayPal payment function on the website. The cookie is necessary for making a safe transaction through PayPal.
335,akavpau_ppsd,,,Used in context with the PayPal payment function on the website. The cookie is necessary for making a safe transaction through PayPal.
336,ts,,,Used in context with the PayPal payment function on the website. The cookie is necessary for making a safe transaction through PayPal.
337,ts_c,,,Used in context with the PayPal payment function on the website. The cookie is necessary for making a safe transaction through PayPal.
338,cookiecheck,,,Determines whether the user has accepted the cookie consent box.
339,__stripe_mid,Functional,Persistent,We use Stripe to allow users to make credit card payments online. Stripe uses cookies to remember who our users are and to enable us to process payments without storing any credit card information on our own servers.
340,__stripe_orig_props,Functional,Persistent,We use Stripe to allow users to make credit card payments online. Stripe uses cookies to remember who our users are and to enable us to process payments without storing any credit card information on our own servers.
